"LOCATION"	"STRAND"	"LENGTH"	"PID"	"GENE"	"SYNNYM"	"CODE"	"COG"	"PRODUCT"	"CHRM"	"ORG"
"683428..684669"	"+"	413	398365639	"PBP2"	"YBR233W"	"-"	"-"	"Pbp2p"	2	2
"684977..685261"	"+"	94	21450619	"DAD3"	"YBR233W-A"	"-"	"-"	"Dad3p"	2	2
"685438..686592"	"-"	384	6319711	"ARC40"	"YBR234C"	"-"	"-"	"Arc40p"	2	2
"686901..690263"	"+"	1120	398365653	"VHC1"	"YBR235W"	"-"	"-"	"Vhc1p"	2	2
"690383..691693"	"-"	436	398365663	"ABD1"	"YBR236C"	"-"	"-"	"Abd1p"	2	2
"691969..694518"	"+"	849	6319714	"PRP5"	"YBR237W"	"-"	"-"	"DEAD-box RNA helicase PRP5"	2	2
"695107..697302"	"-"	731	6319715	"-"	"YBR238C"	"-"	"-"	"hypothetical protein"	2	2
"698354..699943"	"-"	529	398365677	"ERT1"	"YBR239C"	"-"	"-"	"Ert1p"	2	2
"700490..701842"	"-"	450	398365685	"THI2"	"YBR240C"	"-"	"-"	"Thi2p"	2	2
"702589..704055"	"-"	488	6319718	"-"	"YBR241C"	"-"	"-"	"hypothetical protein"	2	2
"704670..705386"	"+"	238	6319719	"-"	"YBR242W"	"-"	"-"	"hypothetical protein"	2	2
"705447..706793"	"-"	448	398365703	"ALG7"	"YBR243C"	"-"	"-"	"UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase"	2	2
"707528..708016"	"+"	162	398365707	"GPX2"	"YBR244W"	"-"	"-"	"glutathione peroxidase GPX2"	2	2
"708150..711539"	"-"	1129	6319722	"ISW1"	"YBR245C"	"-"	"-"	"chromatin-remodeling ATPase ISW1"	2	2
"711591..712754"	"+"	387	6319723	"RRT2"	"YBR246W"	"-"	"-"	"diphthamide synthase"	2	2
"713004..714455"	"-"	483	398365715	"ENP1"	"YBR247C"	"-"	"-"	"Enp1p"	2	2
"714807..716465"	"-"	552	398365721	"HIS7"	"YBR248C"	"-"	"-"	"imidazoleglycerol-phosphate synthase"	2	2
"716882..717994"	"-"	370	6319726	"ARO4"	"YBR249C"	"-"	"-"	"3-deoxy-7-phosphoheptulonate synthase ARO4"	2	2
"719033..720604"	"+"	523	6319727	"SPO23"	"YBR250W"	"-"	"-"	"Spo23p"	2	2
"721390..722313"	"+"	307	398365731	"MRPS5"	"YBR251W"	"-"	"-"	"mitochondrial 37S ribosomal protein MRPS5"	2	2
"722611..723054"	"+"	147	398365737	"DUT1"	"YBR252W"	"-"	"-"	"bifunctional dITP/dUTP diphosphatase"	2	2
"723270..723635"	"+"	121	6319730	"SRB6"	"YBR253W"	"-"	"-"	"Srb6p"	2	2
"723736..724263"	"-"	175	6319731	"TRS20"	"YBR254C"	"-"	"-"	"Trs20p"	2	2
"724456..726540"	"+"	694	398365745	"MTC4"	"YBR255W"	"-"	"-"	"Mtc4p"	2	2
"726618..727074"	"-"	120	398365751	"-"	"YBR255C-A"	"-"	"-"	"hypothetical protein"	2	2
"727386..728102"	"-"	238	6319733	"RIB5"	"YBR256C"	"-"	"-"	"riboflavin synthase"	2	2
"728885..729724"	"+"	279	6319734	"POP4"	"YBR257W"	"-"	"-"	"Pop4p"	2	2
"729734..730162"	"-"	142	398365769	"SHG1"	"YBR258C"	"-"	"-"	"Shg1p"	2	2
"730387..732453"	"+"	688	398365773	"-"	"YBR259W"	"-"	"-"	"hypothetical protein"	2	2
"732639..734639"	"-"	666	6319737	"RGD1"	"YBR260C"	"-"	"-"	"Rgd1p"	2	2
"734832..735530"	"-"	232	6319738	"TAE1"	"YBR261C"	"-"	"-"	"Tae1p"	2	2
"735720..736040"	"-"	106	398365787	"AIM5"	"YBR262C"	"-"	"-"	"Aim5p"	2	2
"736264..737736"	"+"	490	398365793	"SHM1"	"YBR263W"	"-"	"-"	"glycine hydroxymethyltransferase SHM1"	2	2
"737770..738369"	"-"	199	37362623	"YPT10"	"YBR264C"	"-"	"-"	"Ypt10p"	2	2
"738582..739544"	"+"	320	330443467	"TSC10"	"YBR265W"	"-"	"-"	"3-dehydrosphinganine reductase"	2	2
"739841..741022"	"+"	393	398365807	"REI1"	"YBR267W"	"-"	"-"	"Rei1p"	2	2
"741299..741616"	"+"	105	398365811	"MRPL37"	"YBR268W"	"-"	"-"	"mitochondrial 54S ribosomal protein YmL37"	2	2
"742160..742576"	"-"	138	41629680	"FMP21"	"YBR269C"	"-"	"-"	"Fmp21p"	2	2
"742761..744398"	"-"	545	330443471	"BIT2"	"YBR270C"	"-"	"-"	"Bit2p"	2	2
"744852..746111"	"+"	419	398365821	"EFM2"	"YBR271W"	"-"	"-"	"Efm2p"	2	2
"746361..747803"	"-"	480	398365825	"HSM3"	"YBR272C"	"-"	"-"	"Hsm3p"	2	2
"748061..749371"	"-"	436	6319750	"UBX7"	"YBR273C"	"-"	"-"	"Ubx7p"	2	2
"749594..751177"	"+"	527	6319751	"CHK1"	"YBR274W"	"-"	"-"	"Chk1p"	2	2
"751356..757106"	"-"	1916	398365841	"RIF1"	"YBR275C"	"-"	"-"	"Rif1p"	2	2
"757620..760043"	"-"	807	398365845	"PPS1"	"YBR276C"	"-"	"-"	"Pps1p"	2	2
"760294..760899"	"+"	201	6319754	"DPB3"	"YBR278W"	"-"	"-"	"Dpb3p"	2	2
"545028..545978"	"+"	316	6319627	"APD1"	"YBR151W"	"-"	"-"	"Apd1p"	2	2
"546376..547251"	"+"	291	398365113	"SPP381"	"YBR152W"	"-"	"-"	"Spp381p"	2	2
"547460..548194"	"+"	244	398365117	"RIB7"	"YBR153W"	"-"	"-"	"Rib7p"	2	2
"548362..549009"	"-"	215	6319630	"RPB5"	"YBR154C"	"-"	"-"	"Rpb5p"	2	2
"549771..550928"	"+"	385	6319631	"CNS1"	"YBR155W"	"-"	"-"	"Cns1p"	2	2
"551104..553200"	"-"	698	398365137	"SLI15"	"YBR156C"	"-"	"-"	"Sli15p"	2	2
"553543..554310"	"-"	255	398365149	"ICS2"	"YBR157C"	"-"	"-"	"Ics2p"	2	2
"556549..558198"	"+"	549	6319634	"AMN1"	"YBR158W"	"-"	"-"	"Amn1p"	2	2
"558685..559728"	"+"	347	6319635	"IFA38"	"YBR159W"	"-"	"-"	"ketoreductase"	2	2
"560078..560974"	"+"	298	398365175	"CDC28"	"YBR160W"	"-"	"-"	"Cdc28p"	2	2
"561634..562764"	"+"	376	398365183	"CSH1"	"YBR161W"	"-"	"-"	"mannosylinositol phosphorylceramide synthase catalytic subunit CSH1"	2	2
"563203..564570"	"-"	455	6319638	"TOS1"	"YBR162C"	"-"	"-"	"Tos1p"	2	2
"565231..565428"	"+"	65	6319639	"YSY6"	"YBR162W-A"	"-"	"-"	"Ysy6p"	2	2
"565723..567480"	"+"	585	398365199	"EXO5"	"YBR163W"	"-"	"-"	"Exo5p"	2	2
"567875..568426"	"-"	183	398365213	"ARL1"	"YBR164C"	"-"	"-"	"Arl1p"	2	2
"568852..569685"	"+"	277	6319642	"UBS1"	"YBR165W"	"-"	"-"	"Ubs1p"	2	2
"569842..571200"	"-"	452	6319643	"TYR1"	"YBR166C"	"-"	"-"	"pprephenate dehydrogenase (NADP(+))"	2	2
"571468..571890"	"-"	140	398365235	"POP7"	"YBR167C"	"-"	"-"	"Pop7p"	2	2
"572371..573612"	"+"	413	398365241	"PEX32"	"YBR168W"	"-"	"-"	"Pex32p"	2	2
"573915..575996"	"-"	693	6319646	"SSE2"	"YBR169C"	"-"	"-"	"Sse2p"	2	2
"576344..578086"	"-"	580	6319647	"NPL4"	"YBR170C"	"-"	"-"	"Npl4p"	2	2
"578364..578984"	"+"	206	398365265	"SEC66"	"YBR171W"	"-"	"-"	"Sec66p"	2	2
"579150..581372"	"-"	740	398365269	"SMY2"	"YBR172C"	"-"	"-"	"Smy2p"	2	2
"581726..582172"	"-"	148	6319650	"UMP1"	"YBR173C"	"-"	"-"	"Ump1p"	2	2
"582408..583355"	"+"	315	6319651	"SWD3"	"YBR175W"	"-"	"-"	"Swd3p"	2	2
"583720..584658"	"+"	312	398365289	"ECM31"	"YBR176W"	"-"	"-"	"3-methyl-2-oxobutanoate hydroxymethyltransferase"	2	2
"584807..586162"	"-"	451	398365307	"EHT1"	"YBR177C"	"-"	"-"	"Eht1p"	2	2
"586547..589114"	"-"	855	6319656	"FZO1"	"YBR179C"	"-"	"-"	"Fzo1p"	2	2
"589741..591459"	"+"	572	6319657	"DTR1"	"YBR180W"	"-"	"-"	"Dtr1p"	2	2
"591712..592774"	"-"	236	398365321	"RPS6B"	"YBR181C"	"-"	"-"	"ribosomal 40S subunit protein S6B"	2	2
"593506..594864"	"-"	452	398365331	"SMP1"	"YBR182C"	"-"	"-"	"Smp1p"	2	2
"595361..595555"	"-"	64	33438768	"-"	"YBR182C-A"	"-"	"-"	"hypothetical protein"	2	2
"596115..597065"	"+"	316	6319660	"YPC1"	"YBR183W"	"-"	"-"	"phytoceramidase"	2	2
"597363..598934"	"+"	523	398365349	"-"	"YBR184W"	"-"	"-"	"hypothetical protein"	2	2
"599123..599959"	"-"	278	398365355	"MBA1"	"YBR185C"	"-"	"-"	"Mba1p"	2	2
"600553..602360"	"+"	564	9755327	"PCH2"	"YBR186W"	"-"	"-"	"Pch2p"	2	2
"602634..603476"	"+"	280	6319664	"GDT1"	"YBR187W"	"-"	"-"	"Gdt1p"	2	2
"603685..604107"	"-"	140	398365371	"NTC20"	"YBR188C"	"-"	"-"	"Ntc20p"	2	2
"604508..605508"	"+"	195	398365377	"RPS9B"	"YBR189W"	"-"	"-"	"ribosomal 40S subunit protein S9B"	2	2
"606270..607140"	"+"	160	6319668	"RPL21A"	"YBR191W"	"-"	"-"	"ribosomal 60S subunit protein L21A"	2	2
"607652..608785"	"+"	377	6319669	"RIM2"	"YBR192W"	"-"	"-"	"Rim2p"	2	2
"609082..609753"	"-"	223	398365395	"MED8"	"YBR193C"	"-"	"-"	"Med8p"	2	2
"610038..610409"	"+"	123	398365399	"AIM4"	"YBR194W"	"-"	"-"	"Aim4p"	2	2
"610614..611882"	"-"	422	6319672	"MSI1"	"YBR195C"	"-"	"-"	"Msi1p"	2	2
"612236..613900"	"-"	554	6319673	"PGI1"	"YBR196C"	"-"	"-"	"glucose-6-phosphate isomerase"	2	2
"614024..614173"	"-"	49	398365411	"-"	"YBR196C-A"	"-"	"-"	"hypothetical protein"	2	2
"614526..614630"	"-"	34	398365423	"-"	"YBR196C-B"	"-"	"-"	"hypothetical protein"	2	2
"615203..615856"	"-"	217	6319674	"-"	"YBR197C"	"-"	"-"	"hypothetical protein"	2	2
"616127..618523"	"-"	798	6319675	"TAF5"	"YBR198C"	"-"	"-"	"Taf5p"	2	2
"618909..620303"	"+"	464	398365437	"KTR4"	"YBR199W"	"-"	"-"	"Ktr4p"	2	2
"620872..622527"	"+"	551	398365445	"BEM1"	"YBR200W"	"-"	"-"	"Bem1p"	2	2
"622983..623147"	"+"	54	33438771	"-"	"YBR200W-A"	"-"	"-"	"hypothetical protein"	2	2
"623576..624211"	"+"	211	6319678	"DER1"	"YBR201W"	"-"	"-"	"Der1p"	2	2
"624493..624696"	"-"	67	398365463	"-"	"YBR201C-A"	"-"	"-"	"hypothetical protein"	2	2
"625772..628309"	"+"	845	398365471	"MCM7"	"YBR202W"	"-"	"-"	"Mcm7p"	2	2
"629168..631942"	"+"	924	330443461	"COS111"	"YBR203W"	"-"	"-"	"Cos111p"	2	2
"632254..633381"	"-"	375	330443463	"LDH1"	"YBR204C"	"-"	"-"	"Ldh1p"	2	2
"633622..634836"	"+"	404	398365497	"KTR3"	"YBR205W"	"-"	"-"	"Ktr3p"	2	2
"635146..636543"	"+"	465	398365501	"FTH1"	"YBR207W"	"-"	"-"	"Fth1p"	2	2
"636703..642210"	"-"	1835	6319685	"DUR1,2"	"YBR208C"	"-"	"-"	"bifunctional urea carboxylase/allophanate hydrolase"	2	2
"645550..645978"	"+"	142	6319687	"ERV15"	"YBR210W"	"-"	"-"	"Erv15p"	2	2
"646158..647132"	"-"	324	398365517	"AME1"	"YBR211C"	"-"	"-"	"Ame1p"	2	2
"647886..649904"	"+"	672	398365523	"NGR1"	"YBR212W"	"-"	"-"	"Ngr1p"	2	2
"650368..651192"	"+"	274	6319690	"MET8"	"YBR213W"	"-"	"-"	"bifunctional precorrin-2 dehydrogenase/sirohydrochlorin ferrochelatase MET8"	2	2
"411054..413981"	"+"	975	6319558	"MIS1"	"YBR084W"	"-"	"-"	"trifunctional formate-tetrahydrofolate ligase/methenyltetrahydrofolate cyclohydrolase/methylenetetrahydrofolate dehydrogenase MIS1"	2	2
