gene,cnt,MW,COG1,gname,LENGTH,PRODUCT,gcmp,isblocked,rxn1,nOR,nAND,gpr
b2323,12,42.6132198,IQ,fabB,406,3-oxoacyl-[acyl-carrier-protein] synthase I,c,FALSE,,,,
b1095,9,43.045633,IQ,fabF,413,3-oxoacyl-[acyl-carrier-protein] synthase II,c,FALSE,,,,
b1329,1,59.8999075,E,mppA,537,murein tripeptide (L-ala-gamma-D-glutamyl-meso-DAP) transporter subunit,cp,FALSE,R_3PEPTabcpp,0,4,( b1329  and  b1244  and  b1245  and  b1246  and  b1247 )
b1244,2,33.4430732,EP,oppB,306,oligopeptide transporter subunit,cp,FALSE,,,,
b1245,2,33.0218084,EP,oppC,302,oligopeptide transporter subunit,cp,FALSE,,,,
b1246,2,37.1883683,EP,oppD,337,oligopeptide transporter subunit,cp,FALSE,,,,
b1247,2,37.1974243,E,oppF,334,oligopeptide transporter subunit,cp,FALSE,,,,
b1386,3,84.3782907,Q,tynA,757,"tyramine oxidase, copper-requiring",p,FALSE,,,,
b0004,2,47.113628,E,thrC,428,threonine synthase,c,FALSE,,,,
b1192,4,33.5673345,V,ldcA,304,murein tetrapeptide carboxypeptidase; LD-carboxypeptidase A,c,FALSE,,,,
b1243,1,60.8986375,E,oppA,543,oligopeptide transporter subunit,cp,FALSE,R_4PEPTabcpp,0,4,( b1243  and  b1244  and  b1245  and  b1246  and  b1247 )
b4266,1,27.5626112,IQR,idnO,254,5-keto-D-gluconate-5-reductase,c,FALSE,R_5DGLCNR,0,0,b4266
b4265,3,46.0411144,GE,idnT,439,L-idonate and D-gluconate transporter,cp,FALSE,,,,
b0159,3,24.3538829,F,mtn,232,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,c,FALSE,,,,
b2708,1,34.0313472,M,gutQ,321,D-arabinose 5-phosphate isomerase,c,FALSE,R_A5PISO,1,0,( b2708  or  b3197 )
b3197,1,35.1960233,M,kdsD,328,D-arabinose 5-phosphate isomerase,c,FALSE,R_A5PISO,1,0,( b2708  or  b3197 )
b1094,12,8.6394841,IQ,acpP,78,acyl carrier protein (ACP),c,FALSE,,,,
b4481,1,40.639413,,wecF,359,TDP-Fuc4NAc:lipidIIFuc4NAc transferase,c,FALSE,R_AADDGT,0,0,b4481
b1927,1,56.6391345,G,amyA,495,cytoplasmic alpha-amylase,c,FALSE,R_AAMYL,0,0,b1927
b3571,1,75.7123363,G,malS,676,alpha-amylase,p,FALSE,R_AAMYLpp,0,0,b3571
b2901,1,55.3605682,G,bglA,479,6-phospho-beta-glucosidase A,c,TRUE,R_AB6PGH,0,0,b2901
b2662,1,45.7744748,E,gabT,426,"4-aminobutyrate aminotransferase, PLP-dependent",c,FALSE,R_ABTA,1,0,( b2662  or  b1302 )
b1302,1,44.7289046,E,puuE,421,"GABA aminotransferase, PLP-dependent",c,FALSE,R_ABTA,1,0,( b2662  or  b1302 )
b1444,1,50.8298124,C,patD,474,gamma-aminobutyraldehyde dehydrogenase,c,FALSE,R_ABUTD,0,0,b1444
b2663,1,51.0799094,E,gabP,466,gamma-aminobutyrate transporter,cp,FALSE,R_ABUTt2pp,0,0,b2663
b2221,3,23.5261293,I,atoD,220,"acetyl-CoA:acetoacetyl-CoA transferase, alpha subunit",c,FALSE,,,,
b2222,3,22.9596091,I,atoA,216,"acetyl-CoA:acetoacetyl-CoA transferase, beta subunit",c,FALSE,,,,
b2224,1,40.3523601,I,atoB,394,acetyl-CoA acetyltransferase,c,FALSE,R_ACACT1r,0,0,b2224
b2223,3,47.5275842,I,atoE,440,short chain fatty acid transporter,cp,FALSE,,,,
b0351,1,33.4423768,Q,mhpF,316,"acetaldehyde-CoA dehydrogenase II, NAD-binding",c,FALSE,R_ACALD,1,0,( b0351  or  b1241 )
b1241,2,96.1268571,C,adhE,891,fused acetaldehyde-CoA dehydrogenase/iron-dependent alcohol dehydrogenase/pyruvate-formate lyase deactivase,c,FALSE,,,,
s0001,29,0.001,,,,,"c,cp,e,ep",FALSE,,,,
b1463,1,32.274441,Q,nhoA,281,N-hydroxyarylamine O-acetyltransferase,c,TRUE,R_ACANTHAT,0,0,b1463
b1993,2,20.1639337,H,cobU,181,bifunctional cobinamide kinase/ cobinamide phosphate guanylyltransferase,c,TRUE,,,,
b0185,1,35.241412,I,accA,319,"acetyl-CoA carboxylase, carboxytransferase, alpha subunit",c,FALSE,R_ACCOAC,0,3,( b0185  and  b2316  and  b3255  and  b3256 )
b2316,1,33.3218306,I,accD,304,"acetyl-CoA carboxylase, beta (carboxyltransferase) subunit",c,FALSE,R_ACCOAC,0,3,( b0185  and  b2316  and  b3255  and  b3256 )
b3255,1,16.6871741,I,accB,156,"acetyl CoA carboxylase, BCCP subunit",c,FALSE,R_ACCOAC,0,3,( b0185  and  b2316  and  b3255  and  b3256 )
b3256,1,49.3205831,I,accC,449,"acetyl-CoA carboxylase, biotin carboxylase subunit",c,FALSE,R_ACCOAC,0,3,( b0185  and  b2316  and  b3255  and  b3256 )
b0335,1,69.3506579,I,prpE,628,propionate--CoA ligase,c,FALSE,R_ACCOAL,0,0,b0335
b1119,1,33.0425624,KG,nagK,303,N-acetyl-D-glucosamine kinase,c,FALSE,R_ACGAMK,0,0,b1119
b3784,1,40.957091,M,wecA,367,UDP-GlcNAc:undecaprenylphosphate GlcNAc-1-phosphate transferase,c,FALSE,R_ACGAMT,0,0,b3784
b2417,6,18.250982,G,crr,169,glucose-specific enzyme IIA component of PTS,cp,FALSE,,,,
b1101,2,50.6763423,G,ptsG,477,fused glucose-specific PTS enzymes: IIB component/IIC component,cp,FALSE,,,,
b2415,17,9.1193318,G,ptsH,85,phosphohistidinoprotein-hexose phosphotransferase component of PTS system (Hpr),"c,cp",FALSE,,,,
b2416,17,63.5616033,G,ptsI,575,PEP-protein phosphotransferase of PTS system (enzyme I),"c,cp",FALSE,,,,
b0679,1,68.3466283,G,nagE,648,"fused N-acetyl glucosamine specific PTS enzyme: IIC, IIB, and IIA components",cp,FALSE,R_ACGAptspp,1,5,( ( b2417  and  b1101  and  b2415  and  b2416 )  or  ( b0679  and  b2415  and  b2416 ) )
b3959,1,27.1594442,E,argB,258,acetylglutamate kinase,c,FALSE,R_ACGK,0,0,b3959
b2818,1,49.1949951,E,argA,443,fused acetylglutamate kinase homolog (inactive)/amino acid N-acetyltransferase,c,FALSE,R_ACGS,0,0,b2818
b3670,2,11.105727,E,ilvN,96,"acetolactate synthase I, small subunit",c,FALSE,,,,
b3671,2,60.4403985,EH,ilvB,562,"acetolactate synthase I, large subunit",c,FALSE,,,,
b0077,2,62.9841367,EH,ilvI,574,"acetolactate synthase III, large subunit",c,FALSE,,,,
b0078,2,17.9766844,E,ilvH,163,"acetolactate synthase III, thiamin-dependent, small subunit",c,FALSE,,,,
b3115,2,43.3839664,C,tdcD,402,"propionate kinase/acetate kinase C, anaerobic",c,FALSE,,,,
b2296,1,43.290297,C,ackA,400,acetate kinase A and propionate kinase 2,c,FALSE,R_ACKr,2,0,( b3115  or  b2296  or  b1849 )
b1849,2,42.4335207,F,purT,392,phosphoribosylglycinamide formyltransferase 2,c,FALSE,,,,
b3794,1,27.9280618,M,wecG,246,UDP-N-acetyl-D-mannosaminuronic acid transferase,c,FALSE,R_ACMAMUT,0,0,b3794
b1817,5,35.0474121,G,manX,323,fused mannose-specific PTS enzymes: IIA component/IIB component,cp,FALSE,,,,
b1818,5,27.6357076,G,manY,266,mannose-specific enzyme IIC component of PTS,cp,FALSE,,,,
b1819,5,30.9553672,G,manZ,283,mannose-specific enzyme IID component of PTS,cp,FALSE,,,,
b2429,2,49.8017607,G,murP,474,"N-acetylmuramic acid permease, EIIBC component, PTS system",cp,FALSE,,,,
b3224,1,53.5510318,G,nanT,496,sialic acid transporter,cp,FALSE,R_ACNAMt2pp,0,0,b3224
b4311,1,27.8878891,,nanC,238,N-acetylnuraminic acid outer membrane channel protein,ep,FALSE,R_ACNAMtex,2,0,( b4311  or  b0929  or  b2215 )
b3225,1,32.5933425,EM,nanA,297,N-acetylneuraminate lyase,c,FALSE,R_ACNML,0,0,b3225
b0221,8,89.2240901,I,fadE,814,acyl coenzyme A dehydrogenase,c,FALSE,,,,
b1091,2,33.5150117,I,fabH,317,3-oxoacyl-[acyl-carrier-protein] synthase III,c,FALSE,,,,
b3957,2,42.3471818,E,argE,383,acetylornithine deacetylase,c,FALSE,,,,
b1519,1,29.0058396,R,tam,252,trans-aconitate methyltransferase,c,TRUE,R_ACONMT,0,0,b1519
b0118,3,93.4977645,C,acnB,865,bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase,c,FALSE,,,,
b1276,2,97.6768463,C,acnA,891,aconitate hydratase 1,c,FALSE,,,,
b3359,2,43.7668051,E,argD,406,bifunctional acetylornithine aminotransferase/ succinyldiaminopimelate aminotransferase,c,FALSE,,,,
b1748,2,43.6651931,E,astC,406,"succinylornithine transaminase, PLP-dependent",c,FALSE,,,,
b2563,1,14.0522303,I,acpS,126,holo-[acyl-carrier-protein] synthase 1,c,TRUE,R_ACPS1,1,0,( b2563  or  b3475 )
b3475,1,21.7677137,H,acpT,195,holo-(acyl carrier protein) synthase 2,c,TRUE,R_ACPS1,1,0,( b2563  or  b3475 )
b4069,1,72.093278,I,acs,652,acetyl-CoA synthetase,c,FALSE,R_ACS,0,0,b4069
b2578,2,21.2482101,E,eamB,195,cysteine and O-acetylserine exporter,cp,FALSE,,,,
b1533,2,32.3240773,R,eamA,299,cysteine and O-acetyl-L-serine efflux system,cp,FALSE,,,,
b4067,2,59.1968932,R,actP,549,acetate transporter,cp,FALSE,,,,
b1623,2,36.3973125,F,add,333,adenosine deaminase,c,FALSE,,,,
b1096,1,29.7149879,EH,pabC,269,4-amino-4-deoxychorismate lyase component of para-aminobenzoate synthase multienzyme complex,c,FALSE,R_ADCL,0,0,b1096
b3360,1,20.7717854,EH,pabA,187,"aminodeoxychorismate synthase, subunit II",c,FALSE,R_ADCS,0,1,( b3360  and  b1812 )
b1812,2,50.9693345,EH,pabB,453,"aminodeoxychorismate synthase, subunit I",c,FALSE,,,,
b3665,1,63.7391375,F,ade,588,cryptic adenine deaminase,c,FALSE,R_ADD,0,0,b3665
b3654,3,48.8678913,F,xanP,463,xanthine permease,cp,FALSE,,,,
b0474,13,23.5859218,F,adk,214,adenylate kinase,c,FALSE,,,,
b0120,1,30.3845463,E,speD,264,S-adenosylmethionine decarboxylase,c,TRUE,R_ADMDC,0,0,b0120
b3806,1,97.5856,F,cyaA,848,adenylate cyclase,c,FALSE,R_ADNCYC,0,0,b3806
b0030,5,32.5606791,F,rihC,304,ribonucleoside hydrolase 3,c,FALSE,,,,
b2964,11,46.3891018,G,nupG,418,nucleoside transporter,cp,FALSE,,,,
b2393,7,43.475593,F,nupC,400,nucleoside (except guanosine) transporter,cp,FALSE,,,,
b2406,6,46.139693,G,xapB,418,xanthosine transporter,cp,FALSE,,,,
b0411,7,33.5888494,M,tsx,294,"nucleoside channel, receptor of phage T6 and colicin K",ep,FALSE,,,,
b1992,1,26.3855173,H,cobS,247,cobalamin synthase,c,TRUE,R_ADOCBLS,0,0,b1992
b1711,3,34.9491864,H,btuC,326,vitamin B12 transporter subunit: membrane component of ABC superfamily,cp,TRUE,,,,
b1709,3,27.0810895,H,btuD,249,vitamin B12 transporter subunit : ATP-binding component of ABC superfamily,cp,TRUE,,,,
b0158,3,29.3666911,P,btuF,266,vitamin B12 transporter subunit: periplasmic-binding component of ABC superfamily,cp,TRUE,,,,
b3966,3,68.4067726,H,btuB,614,vitamin B12/cobalamin outer membrane transporter,cep,TRUE,,,,
b1252,10,26.0941346,M,tonB,239,membrane spanning protein in TonB-ExbB-ExbD transport complex,cep,FALSE,,,,
b3005,10,15.5269439,U,exbD,141,membrane spanning protein in TonB-ExbB-ExbD complex,cep,FALSE,,,,
b3006,10,26.2872824,U,exbB,244,membrane spanning protein in TonB-ExbB-ExbD complex,cep,FALSE,,,,
b3397,1,21.15308,LR,nudE,186,"adenosine nucleotide hydrolase; substrates include Ap3A, Ap2A, ADP-ribose, NADH",c,FALSE,R_ADPRDP,0,0,b3397
b0469,1,19.8587742,F,apt,183,adenine phosphoribosyltransferase,c,FALSE,R_ADPT,0,0,b0469
b2750,1,22.321213,P,cysC,201,adenosine 5'-phosphosulfate kinase,c,FALSE,R_ADSK,0,0,b2750
b1131,2,51.5425624,F,purB,456,adenylosuccinate lyase,c,FALSE,,,,
b4177,1,47.3447599,F,purA,432,adenylosuccinate synthetase,c,FALSE,R_ADSS,0,0,b4177
b0677,1,40.9489569,G,nagA,382,N-acetylglucosamine-6-phosphate deacetylase,c,FALSE,R_AGDC,0,0,b0677
b0110,4,20.5360921,V,ampD,183,"1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; murein amidase",c,FALSE,,,,
b4169,2,47.9850175,M,amiB,445,N-acetylmuramoyl-l-alanine amidase II,p,FALSE,,,,
b2435,2,31.4119749,M,amiA,289,N-acetylmuramoyl-l-alanine amidase I,p,FALSE,,,,
b2817,2,45.6342488,M,amiC,417,N-acetylmuramoyl-L-alanine amidase,p,FALSE,,,,
b1107,3,37.5946152,G,nagZ,341,beta N-acetyl-glucosaminidase,c,FALSE,,,,
b0433,3,53.2449756,G,ampG,491,muropeptide transporter,cp,FALSE,,,,
b3619,1,34.8930078,MG,hldD,310,"ADP-L-glycero-D-mannoheptose-6-epimerase, NAD(P)-binding",c,FALSE,R_AGMHE,0,0,b3619
b2937,1,33.5569323,E,speB,306,agmatinase,c,FALSE,R_AGMT,0,0,b2937
b3018,7,27.4530531,I,plsC,245,1-acyl-sn-glycerol-3-phosphate acyltransferase,c,FALSE,,,,
b3958,1,35.9519809,E,argC,334,"N-acetyl-gamma-glutamylphosphate reductase, NAD(P)-binding",c,FALSE,R_AGPR,0,0,b3958
b0572,2,50.2693655,MU,cusC,457,"copper/silver efflux system, outer membrane component",ce,TRUE,,,,
b0573,2,12.2511216,S,cusF,110,periplasmic copper- and silver-binding protein,ce,TRUE,,,,
b0574,2,44.3047043,M,cusB,407,"copper/silver efflux system, membrane fusion protein",ce,TRUE,,,,
b0575,2,114.7066756,P,cusA,1047,"copper/silver efflux system, membrane component",ce,TRUE,,,,
b4006,2,57.329014,F,purH,529,fused IMP cyclohydrolase/phosphoribosylaminoimidazolecarboxamide formyltransferase,c,FALSE,,,,
b0522,1,39.4609523,F,purK,355,N5-carboxyaminoimidazole ribonucleotide synthase,c,FALSE,R_AIRC2,0,0,b0522
b0523,1,17.7802503,F,purE,169,N5-carboxyaminoimidazole ribonucleotide mutase,c,FALSE,R_AIRC3,0,0,b0523
b0116,3,50.6882868,C,lpd,474,"lipoamide dehydrogenase, E3 component is part of three enzyme complexes",c,FALSE,,,,
b0726,1,105.0613065,C,sucA,933,"2-oxoglutarate decarboxylase, thiamin-requiring",c,FALSE,R_AKGDH,0,2,( b0116  and  b0726  and  b0727 )
b0727,1,44.0112245,C,sucB,405,dihydrolipoyltranssuccinase,c,FALSE,R_AKGDH,0,2,( b0116  and  b0726  and  b0727 )
b2587,1,47.0523534,G,kgtP,432,alpha-ketoglutarate transporter,cp,FALSE,R_AKGt2rpp,0,0,b2587
b1488,1,21.2129747,M,ddpX,193,"D-ala-D-ala dipeptidase, Zn-dependent",c,FALSE,R_ALAALAD,0,0,b1488
b1487,1,57.6409524,E,ddpA,516,D-ala-D-a la transporter subunit,cp,FALSE,R_ALAALAabcpp,1,8,( ( b1487  and  b1486  and  b1485  and  b1484  and  b1483 )  or  ( b3544  and  b3543  and  b3542  and  b3541  and  b3540 ) )
b1486,1,37.3448543,EP,ddpB,340,D-ala-D-ala transporter subunit,cp,FALSE,R_ALAALAabcpp,1,8,( ( b1487  and  b1486  and  b1485  and  b1484  and  b1483 )  or  ( b3544  and  b3543  and  b3542  and  b3541  and  b3540 ) )
b1485,1,31.9708074,EP,ddpC,298,D-ala-D-ala transporter subunit,cp,FALSE,R_ALAALAabcpp,1,8,( ( b1487  and  b1486  and  b1485  and  b1484  and  b1483 )  or  ( b3544  and  b3543  and  b3542  and  b3541  and  b3540 ) )
b1484,1,36.0997508,EP,ddpD,328,"D,D-dipeptide permease system, ATP-binding component",cp,FALSE,R_ALAALAabcpp,1,8,( ( b1487  and  b1486  and  b1485  and  b1484  and  b1483 )  or  ( b3544  and  b3543  and  b3542  and  b3541  and  b3540 ) )
b1483,1,34.620804,EP,ddpF,308,"D,D-dipeptide permease system, ATP-binding component",cp,FALSE,R_ALAALAabcpp,1,8,( ( b1487  and  b1486  and  b1485  and  b1484  and  b1483 )  or  ( b3544  and  b3543  and  b3542  and  b3541  and  b3540 ) )
b3544,3,60.2934324,E,dppA,535,dipeptide transporter,cp,FALSE,,,,
b3543,3,37.4968385,EP,dppB,339,dipeptide/heme transporter,cp,FALSE,,,,
b3542,3,32.308355,EP,dppC,300,dipeptide/heme transporter,cp,FALSE,,,,
b3541,3,35.8442602,EP,dppD,327,dipeptide/heme transporter,cp,FALSE,,,,
b3540,3,37.5603159,E,dppF,334,dipeptide transporter,cp,FALSE,,,,
b0381,1,39.3156435,M,ddlA,364,D-alanine-D-alanine ligase A,c,FALSE,R_ALAALAr,1,0,( b0381  or  b0092 )
b0092,1,32.8395951,M,ddlB,306,D-alanine:D-alanine ligase,c,FALSE,R_ALAALAr,1,0,( b0381  or  b0092 )
b1325,1,34.6739072,MR,ycjG,321,L-Ala-D/L-Glu epimerase,c,FALSE,R_ALAGLUE,0,0,b1325
b4053,1,39.1528052,M,alr,359,"alanine racemase 1, PLP-binding, biosynthetic",c,FALSE,R_ALAR,1,0,( b4053  or  b1190 )
b1190,1,38.8444917,M,dadX,356,"alanine racemase 2, PLP-binding",c,FALSE,R_ALAR,1,0,( b4053  or  b1190 )
b2551,5,45.3164161,E,glyA,417,serine hydroxymethyltransferase,c,FALSE,,,,
b0870,4,36.4945842,E,ltaE,333,"L-allo-threonine aldolase, PLP-dependent",c,FALSE,,,,
b2697,1,96.0320163,J,alaS,876,alanyl-tRNA synthetase,c,TRUE,R_ALATRS,0,0,b2697
b3454,5,26.3101459,E,livF,237,leucine/isoleucine/valine transporter subunit,cp,FALSE,,,,
b3455,5,28.4267417,E,livG,255,leucine/isoleucine/valine transporter subunit,cp,FALSE,,,,
b3457,5,32.9821919,E,livH,308,leucine/isoleucine/valine transporter subunit,cp,FALSE,,,,
b3460,5,39.0762366,E,livJ,367,leucine/isoleucine/valine transporter subunit,cp,FALSE,,,,
b3456,5,46.2691294,E,livM,425,leucine/isoleucine/valine transporter subunit,cp,FALSE,,,,
b4208,5,51.6594777,E,cycA,470,D-alanine/D-serine/glycine transporter,cp,FALSE,,,,
b0007,2,51.6627173,E,yaaJ,476,putative transporter,cp,FALSE,,,,
b0356,3,39.3588728,C,frmA,369,alcohol dehydrogenase class III/glutathione-dependent formaldehyde dehydrogenase,c,FALSE,,,,
b1478,1,35.3794659,R,adhP,336,ethanol-active dehydrogenase/acetaldehyde-active reductase,c,FALSE,R_ALCD2x,2,0,( b0356  or  b1478  or  b1241 )
b1385,1,53.6989318,C,feaB,499,phenylacetaldehyde dehydrogenase,c,TRUE,R_ALDD19x,0,0,b1385
b1300,2,53.4183961,C,puuC,495,"gamma-Glu-gamma-aminobutyraldehyde dehydrogenase, NAD(P)H-dependent",c,FALSE,,,,
b3588,2,56.3061418,C,aldB,512,aldehyde dehydrogenase B,c,FALSE,,,,
b4084,1,33.820843,KG,alsK,309,D-allose kinase,c,FALSE,R_ALLK,0,0,b4084
b4090,2,16.0732623,G,rpiB,149,ribose 5-phosphate isomerase B/allose 6-phosphate isomerase,c,FALSE,,,,
b0516,1,45.6938509,E,allC,411,allantoate amidohydrolase,c,FALSE,R_ALLTAMH,0,0,b0516
b0512,1,49.6014621,F,allB,453,allantoinase,c,FALSE,R_ALLTN,0,0,b0512
b0511,1,52.455861,FH,ybbW,484,putative allantoin transporter,cp,FALSE,R_ALLTNt2rpp,0,0,b0511
b4085,1,26.1091134,G,alsE,231,allulose-6-phosphate 3-epimerase,c,FALSE,R_ALLULPE,0,0,b4085
b4087,2,56.7447133,G,alsA,510,fused D-allose transporter subunits of ABC superfamily: ATP-binding components,cp,FALSE,,,,
b4088,2,32.9097736,G,alsB,311,D-allose transporter subunit,cp,FALSE,,,,
b4086,2,34.3155317,G,alsC,326,D-allose transporter subunit,cp,FALSE,,,,
b0657,2,57.0655525,M,lnt,512,apolipoprotein N-acyltransferase,p,TRUE,,,,
b1677,2,8.3234598,M,lpp,78,murein lipoprotein,p,TRUE,,,,
b3012,2,31.1094865,R,dkgA,275,"2,5-diketo-D-gluconate reductase A",c,FALSE,,,,
b0207,2,29.4366547,R,dkgB,267,"2,5-diketo-D-gluconate reductase B",c,FALSE,,,,
b1781,1,30.9865086,R,yeaE,284,"aldo-keto reductase, methylglyoxal to acetol, NADPH-dependent",c,FALSE,R_ALR2,3,0,( b3012  or  b0207  or  b1781  or  b3001 )
b3001,1,38.8320109,C,gpr,346,L-glyceraldehyde 3-phosphate reductase,c,FALSE,R_ALR2,3,0,( b3012  or  b0207  or  b1781  or  b3001 )
b3945,3,38.7120599,C,gldA,367,"glycerol dehydrogenase, NAD",c,FALSE,,,,
b3091,1,54.0928933,G,uxaA,495,altronate hydrolase,c,FALSE,R_ALTRH,0,0,b3091
b3416,4,78.5032079,G,malQ,694,4-alpha-glucanotransferase (amylomaltase),c,FALSE,,,,
b3223,1,24.0735861,G,nanE,229,putative N-acetylmannosamine-6-P epimerase,c,FALSE,R_AMANAPEr,0,0,b3223
b3222,1,29.6437533,KG,nanK,291,N-acetylmannosamine kinase,c,FALSE,R_AMANK,0,0,b3222
b0774,1,47.3354971,H,bioA,429,"7,8-diaminopelargonic acid synthase, PLP-dependent",c,TRUE,R_AMAOTr,0,0,b0774
b3833,2,28.0731127,H,ubiE,251,"bifunctional 2-octaprenyl-6-methoxy-1,4-benzoquinone methylase/ S-adenosylmethionine:2-DMK methyltransferase",c,TRUE,,,,
b3994,1,70.8501185,H,thiC,631,thiamin (pyrimidine moiety) biosynthesis protein,c,FALSE,R_AMPMS2,0,0,b3994
b1982,1,53.9946568,F,amn,484,AMP nucleosidase,c,FALSE,R_AMPN,0,0,b1982
b0932,2,98.91852,E,pepN,870,aminopeptidase N,c,FALSE,,,,
b0237,3,52.915197,E,pepD,485,aminoacyl-histidine dipeptidase (peptidase D),c,FALSE,,,,
b4260,2,54.879644,E,pepA,503,"multifunctional aminopeptidase A: a cyteinylglycinase, transcription regulator and site-specific recombination factor",c,FALSE,,,,
b2523,2,46.1799891,E,pepB,427,aminopeptidase B,c,FALSE,,,,
b1640,1,39.4961295,O,anmK,369,anhydro-N-acetylmuramic acid kinase,c,FALSE,R_ANHMK,0,0,b1640
b1263,2,56.8697269,E,trpD,531,fused glutamine amidotransferase (component II) of anthranilate synthase/anthranilate phosphoribosyl transferase,c,FALSE,,,,
b1264,1,57.4942742,EH,trpE,520,component I of anthranilate synthase,c,FALSE,R_ANS,0,1,( b1263  and  b1264 )
b0776,1,41.5941046,H,bioF,384,8-amino-7-oxononanoate synthase,c,TRUE,R_AOXSr,0,0,b0776
b0049,3,31.2965963,T,apaH,280,diadenosine tetraphosphatase,c,TRUE,,,,
b0414,2,40.3381755,H,ribD,367,fused diaminohydroxyphosphoribosylaminopyrimidine deaminase and 5-amino-6-(5-phosphoribosylamino) uracil reductase,c,FALSE,,,,
b0062,1,56.0738,G,araA,500,L-arabinose isomerase,c,FALSE,R_ARAI,0,0,b0062
b0153,5,70.4227908,P,fhuB,660,fused iron-hydroxamate transporter subunits of ABC superfamily: membrane components,cp,FALSE,,,,
b0151,5,28.8863272,PH,fhuC,265,iron-hydroxamate transporter subunit,cp,FALSE,,,,
b0152,5,32.9982199,P,fhuD,296,iron-hydroxamate transporter subunit,cp,FALSE,,,,
b1901,1,35.5407729,G,araF,329,L-arabinose transporter subunit,cp,FALSE,R_ARBabcpp,0,2,( b1901  and  b1900  and  b4460 )
b1900,1,55.018029,G,araG,504,fused L-arabinose transporter subunits of ABC superfamily: ATP-binding components,cp,FALSE,R_ARBabcpp,0,2,( b1901  and  b1900  and  b4460 )
b4460,1,34.2108105,G,araH,328,fused L-arabinose transporter subunits of ABC superfamily: membrane components,cp,FALSE,R_ARBabcpp,0,2,( b1901  and  b1900  and  b4460 )
b2841,1,51.6843034,G,araE,472,arabinose transporter,cp,FALSE,R_ARBt2rpp,0,0,b2841
b1528,3,42.5380503,G,ydeA,396,"arabinose efflux transporter, arabinose-inducible",cp,FALSE,,,,
b4115,1,46.8424612,E,adiC,445,arginine:agmatine antiporter,cp,FALSE,R_ARGAGMt7pp,0,0,b4115
b4117,1,84.4249551,E,adiA,755,arginine decarboxylase,c,FALSE,R_ARGDC,0,0,b4117
b2938,1,73.8982056,E,speA,658,"biosynthetic arginine decarboxylase, PLP-binding",p,FALSE,R_ARGDCpp,0,0,b2938
b1605,1,49.5012963,E,ydgI,460,putative arginine/ornithine antiporter transporter,cp,FALSE,R_ARGORNt7pp,0,0,b1605
b3960,1,50.318035,E,argH,457,argininosuccinate lyase,c,FALSE,R_ARGSL,0,0,b3960
b3172,1,49.8982274,E,argG,447,argininosuccinate synthetase,c,FALSE,R_ARGSS,0,0,b3172
b1876,1,64.6827288,J,argS,577,arginyl-tRNA synthetase,c,TRUE,R_ARGTRS,0,0,b1876
b2310,3,27.9915296,ET,argT,260,lysine/arginine/ornithine transporter subunit,cp,FALSE,,,,
